Property Name,Property Code,Brand,#Rooms,Activation Date,Revenue,Profit Margin,Gross Profit,Flag,Size Subset,SPOR,Group,Type
Homewood Suites Denver Tech Center,DENHW,Hilto,113.0,2013-10-09,2313.16,0.71159,1646.02,Homewood Suites by Hilton,3,0.9831349405365633,All Suites,All Suites
Hilton Garden Inn Memphis Wolfchase Galleria,MEMCW,Hilto,124.0,2015-03-07,2309.66,0.73007,1686.21,Hilton Garden Inn,3,0.8945657549170402,Select Service,Focused Service
Homewood Suites Durham Chapel Hill (I-40),RDUHW,Hilto,96.0,2015-08-11,2281.36,0.52926,1207.43,Homewood Suites by Hilton,2,1.141322792997016,All Suites,All Suites
Home2 Suites by Hilton Dallas Grand Prairie,DFWGP,Hilto,96.0,2018-10-17,2273.25,0.63065,1433.62,Home2 Suites by Hilton,2,1.1372655079340683,All Suites,Focused Service
Hampton Inn Harrisburg West,HRBPA,Hilto,129.0,2015-04-30,2236.37,0.67179,1502.36,Hampton Inn by Hilton,3,0.8326065984548543,Select Service,Focused Service
Hilton Garden Inn Fort Myers Airport FGCU,RSWFM,Hilto,164.0,2014-07-12,2198.04,0.59341,1304.34,Hilton Garden Inn,4,0.6436913074321505,Select Service,Focused Service
Tru by Hilton Lawrence,LWCNE,Hilto,82.0,2018-12-19,2182.13,0.52336,1142.05,Tru by Hilton,2,1.278064195999089,Select Service,Focused Service
Avid Hotel Oklahoma City - Quail Springs,OKCAV,IHG,87.0,2018-08-07,2105.75,0.56408,1187.82,Avid Hotels,2,1.1624477940458824,All Suites,Focused Service
Home2 Suites by Hilton Hilton Head,HHHHT,Hilto,99.0,2018-11-01,2095.08,0.59859,1254.1,Home2 Suites by Hilton,2,1.016368782534687,All Suites,Focused Service
Staybridge Suites - Wilmington Brandywine Valley,PHLFD,IHG,110.0,2018-08-02,2049.13,0.61241,1254.9,Staybridge Suites,3,0.8946696961546925,All Suites,Focused Suites
Hampton Inn & Suites Lincoln Northeast I-80,LNKNH,Hilto,83.0,2015-05-19,2041.55,0.70684,1443.04,Hampton Inn & Suites by Hilton,2,1.1813207415283755,Select Service,Focused Service
Hampton Inn Waterloo,ALOIA,Hilto,101.0,2018-01-30,2001.08,0.54927,1099.14,Hampton Inn by Hilton,3,0.9515442265400704,Select Service,Focused Service
Homewood Suites by Hilton Syracuse/Liverpool,SYRHW,Hilto,102.0,2018-06-07,1987.69,0.57184,1136.64,Homewood Suites by Hilton,3,0.9359106342809916,All Suites,All Suites
"Hilton Garden Inn Fredericton, New Brunswick",YFCNW,Hilto,110.0,2018-09-18,1954.0,0.53354,1042.53,Hilton Garden Inn,3,0.8531350311040632,Select Service,Focused Service
Hilton Garden Inn Cedar Falls,ALOCF,Hilto,113.0,2018-01-12,1947.67,0.59702,1162.79,Hilton Garden Inn,3,0.8277950637374191,Select Service,Focused Service
Tru by Hilton Williamsville Buffalo Airport,BUFRU,Hilto,79.0,2018-04-04,1946.19,0.52897,1029.47,Tru by Hilton,1,1.1831615464563818,Select Service,Focused Service
Home2 Suites by Hilton Fort Worth Northlake,DFWNL,Hilto,104.0,2018-09-26,1908.5,0.63769,1217.03,Home2 Suites by Hilton,3,0.8813425259567725,All Suites,Focused Service
"Tru by Hilton Jackson, MI",LANJA,Hilto,93.0,2018-08-20,1901.18,0.66525,1264.76,Tru by Hilton,2,0.9818071473337653,Select Service,Focused Service
Holiday Inn Express & Suites Kansas City Airport,MKCAI,IHG,109.0,2018-06-25,1865.25,0.7204,1343.73,Holiday Inn Express & Suites,3,0.821857365481083,Other,Other
Hampton Inn Kennewick at Southridge,VSKTC,Hilto,80.0,2015-06-29,1865.05,0.50699,945.57,Hampton Inn by Hilton,2,1.1196605928458907,Select Service,Focused Service
Hampton Inn & Suites Palm Desert,PLMHS,Hilto,88.0,2014-10-30,1861.75,0.58179,1083.15,Hampton Inn & Suites by Hilton,2,1.0160722518922658,Select Service,Focused Service
Homewood Suites Poplar,MEMPO,Hilto,140.0,2013-12-16,1789.21,0.54102,967.99,Homewood Suites by Hilton,3,0.6137891146007717,All Suites,All Suites
Hampton Inn Denver-Gateway Park,DENAP,Hilto,115.0,2016-05-30,1775.59,0.64062,1137.48,Hampton Inn by Hilton,3,0.7415334577303501,Select Service,Focused Service
Candlewood Suites - Fort Collins,FCLCW,IHG,83.0,2018-12-13,1756.75,0.63934,1123.16,Candlewood Suites,2,1.016524313722404,All Suites,All Suites
Tru by Hilton Bryan College Station,CLLCS,Hilto,98.0,2018-08-27,1741.76,0.69138,1204.21,Tru by Hilton,2,0.8535876793565237,Select Service,Focused Service
Homewood Suites by Hilton Denver International Airport,DENIP,Hilto,117.0,2016-05-30,1722.09,0.57632,992.48,Homewood Suites by Hilton,3,0.7068965856955252,All Suites,All Suites
"Home2 Suites by Hilton Columbus, GA",CSGBP,Hilto,81.0,2018-11-20,1718.81,0.61355,1054.57,Home2 Suites by Hilton,2,1.0191280469901387,All Suites,Focused Service
Home2 Suites by Hilton Minneapolis - Eden Prarie,MSPEN,Hilto,102.0,2018-09-06,1708.0,0.6131,1047.17,Home2 Suites by Hilton,3,0.8042176412579093,All Suites,Focused Service
Hampton Inn & Suites Phenix City- Columbus Area,CSGPC,Hilto,81.0,2018-09-19,1689.01,0.56358,951.9,Hampton Inn & Suites by Hilton,2,1.001458836431493,Select Service,Focused Service
Home2 Suites by Hilton Murfreesboro,MBTHT,Hilto,75.0,2017-09-18,1684.99,0.70599,1189.58,Home2 Suites by Hilton,1,1.0790012935285151,All Suites,Focused Service
Hotel MdR Marina Del Ray - a DoubleTree by Hilton,LAXMA,Hilto,283.0,2018-01-23,1680.1,0.61048,1025.67,DoubleTree by Hilton,5,0.2851245397379535,Full Service,Full Service
Homewood Suites Reno,RNOHW,Hilto,96.0,2015-08-09,1632.13,0.59173,965.78,Homewood Suites by Hilton,2,0.8165248668049846,All Suites,All Suites
Hampton Inn & Suites DuPont,SEADP,Hilto,115.0,2015-08-13,1627.3,0.64876,1055.73,Hampton Inn & Suites by Hilton,3,0.6796036223253109,Select Service,Focused Service
Hilton Garden Inn Bristol,TRIGI,Hilto,104.0,2015-04-03,1610.0,0.66199,1065.8,Hilton Garden Inn,3,0.7434956598325406,Select Service,Focused Service
"Hampton Inn Middletown, NY",MLTNY,Hilto,127.0,2015-05-14,1601.08,0.61378,982.71,Hampton Inn by Hilton,3,0.6054736011573686,Select Service,Focused Service
Home2Suites KCI Airport,MCIKA,Hilto,91.0,2018-06-12,1600.98,0.52136,834.69,Home2 Suites by Hilton,2,0.8449488422209058,All Suites,Focused Service
Hilton Garden Inn Kennett Square,PHLKS,Hilto,92.0,2015-07-22,1530.02,0.65795,1006.67,Hilton Garden Inn,2,0.798721144096181,Select Service,Focused Service
Homewood Suites by Hilton Ottawa Downtown,YOWQS,Hilto,171.0,2018-12-31,1518.7,0.50082,760.59,Homewood Suites by Hilton,4,0.4265419828306951,All Suites,All Suites
Tru by Hilton Wichita Northeast,MCIWI,Hilto,98.0,2018-06-22,1514.39,0.65244,988.05,Tru by Hilton,2,0.7421600253425994,Select Service,Focused Service
Hampton Inn Magnolia,AGOSN,Hilto,68.0,2018-04-03,1469.14,0.60181,884.15,Hampton Inn by Hilton,1,1.0376243900564799,Select Service,Focused Service
Hampton Inn & Suites Tarpon Springs,TPATS,Hilto,84.0,2015-08-03,1466.73,0.54388,797.72,Hampton Inn & Suites by Hilton,2,0.8386037301922729,Select Service,Focused Service
Hampton Inn Rapid City,RAPHA,Hilto,82.0,2018-02-08,1438.68,0.59907,861.87,Hampton Inn by Hilton,2,0.8426287148336576,Select Service,Focused Service
Hampton Inn & Suites Riverton,RIWWY,Hilto,89.0,2018-05-03,1438.64,0.53322,767.11,Hampton Inn & Suites by Hilton,2,0.7763329610607479,Select Service,Focused Service
Home2 Suites by Hilton Plymouth Minneapolis,MSPPL,Hilto,102.0,2018-08-22,1427.0,0.59367,847.16,Home2 Suites by Hilton,3,0.6719078302547052,All Suites,Focused Service
Hampton Inn Eufaula,EUFHX,Hilto,78.0,2018-09-24,1336.54,0.5866,784.02,Hampton Inn by Hilton,1,0.8229496390828851,Select Service,Focused Service
Hampton Inn Charleston Southridge,CRWSO,Hilto,139.0,2015-06-17,1331.48,0.47758,635.89,Hampton Inn by Hilton,3,0.46005075526162226,Select Service,Focused Service
Tru by Hilton Shepherdsville Louisville South,SDFRU,Hilto,83.0,2018-12-06,1229.28,0.6754,830.25,Tru by Hilton,2,0.7113095251872359,Select Service,Focused Service
Hampton Inn Henderson,HDSNC,Hilto,75.0,2018-09-26,1195.69,0.55264,660.79,Hampton Inn by Hilton,1,0.7656728269361304,Select Service,Focused Service
Hampton Inn Winchester-University/Mall Area,WNCVA,Hilto,101.0,2018-03-13,1144.97,0.54696,626.25,Hampton Inn by Hilton,3,0.5444507931025169,Select Service,Focused Service
Hampton Inn & Suites Fort Lauderdale Miramar,FLLMM,Hilto,122.0,2015-07-23,1142.5,0.66705,762.11,Hampton Inn & Suites by Hilton,3,0.4497615023994628,Select Service,Focused Service
Hampton Inn Montrose,MTJCO,Hilto,64.0,2017-12-19,1104.18,0.58777,649.0,Hampton Inn by Hilton,1,0.8286016684596764,Select Service,Focused Service
Hampton Inn Orlando-Maingate South,MCOSW,Hilto,83.0,2018-02-08,1078.5,0.64517,695.82,Hampton Inn by Hilton,2,0.6240623152694537,Select Service,Focused Service
Home2 Suites by Hilton Chicago McCormick Place,CHIMI,Hilto,95.0,2018-08-07,1028.6,0.7387,759.83,Home2 Suites by Hilton,2,0.5200065519005567,All Suites,Focused Service
Hampton Inn Greensboro-East,GSOEA,Hilto,78.0,2018-09-29,952.42,0.52334,498.44,Hampton Inn by Hilton,1,0.5864348955177708,Select Service,Focused Service
Hilton Garden Inn Wilkes Barre,AVPWI,Hilto,123.0,2015-06-02,942.2,0.6595,621.38,Hilton Garden Inn,3,0.36789500334393205,Select Service,Focused Service
Crowne Plaza Kansas City Downtown,MKCWS,IHG,385.0,2018-11-27,13286.75,0.68889,9153.13,Crowne Plaza,5,1.6574633534905558,Full service,Full service
Hampton Inn & Suites Red Deer,YQFRD,Hilto,110.0,2014-12-15,843.18,0.51172,431.47,Hampton Inn & Suites by Hilton,3,0.368140427597914,Select Service,Focused Service
Hampton Inn & Suites Lake Jackson Clute,LJNCL,Hilto,67.0,2015-08-26,754.08,0.55628,419.48,Hampton Inn & Suites by Hilton,1,0.5405408505174593,Select Service,Focused Service
Hilton Philadelphia City Avenue,PHLPH,Hilto,209.0,2015-09-03,739.45,0.63255,467.74,Full Services,5,0.16992153713028596,Other,Other
